Item_Identifier,Item_Type,Item_Fat_Content,Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier,Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_City,Item_Outlet_Sales
FDP10,Snack Foods,Low Fat,,0.127469857,107.7622,OUT027,1985,Medium,Tier 3,Mumbai,4022.7636
DRI11,Hard Drinks,Low Fat,,0.034237682,113.2834,OUT027,1985,Medium,Tier 3,Mumbai,2303.668
FDB34,Snack Foods,Low Fat,,0.026480954,87.6198,OUT027,1985,Medium,Tier 3,Mumbai,2180.495
FDF09,Fruits and Vegetables,Low Fat,,0.012090074,38.2848,OUT027,1985,Medium,Tier 3,Mumbai,484.7024
FDY45,Snack Foods,Low Fat,,0.026015519,255.8356,OUT027,1985,Medium,Tier 3,Mumbai,2543.356
NCP18,Household,Low Fat,,0.028459761,149.9708,OUT027,1985,Medium,Tier 3,Mumbai,4363.6532
FDX34,Snack Foods,Low Fat,,0.071636937,121.7098,OUT027,1985,Medium,Tier 3,Mumbai,4097.3332
FDY25,Canned,Low Fat,,0.033809913,180.5976,OUT027,1985,Medium,Tier 3,Mumbai,7968.2944
NCR53,Health and Hygiene,Low Fat,,0.144338493,224.4404,OUT027,1985,Medium,Tier 3,Mumbai,6976.2524
FDH35,Starchy Foods,Low Fat,,0.059956876,165.4526,OUT027,1985,Medium,Tier 3,Mumbai,5262.4832
DRK12,Soft Drinks,Low Fat,,0.041683481,31.29,OUT027,1985,Medium,Tier 3,Mumbai,898.83
FDR07,Fruits and Vegetables,Low Fat,,0.077367431,97.0094,OUT027,1985,Medium,Tier 3,Mumbai,1808.9786
NCB30,Household,Low Fat,,0.025578526,198.8084,OUT027,1985,Medium,Tier 3,Mumbai,5555.4352
NCX06,Household,Low Fat,,0.01561108,182.5976,OUT027,1985,Medium,Tier 3,Mumbai,5070.7328
FDI24,Baking Goods,Low Fat,,0.078362484,177.937,OUT027,1985,Medium,Tier 3,Mumbai,6704.606
FDX25,Canned,Low Fat,,0.101561568,181.9292,OUT027,1985,Medium,Tier 3,Mumbai,3101.2964
NCX42,Household,Low Fat,,0.005949644,165.6526,OUT027,1985,Medium,Tier 3,Mumbai,4769.1254
DRM47,Hard Drinks,Low Fat,,0.04357366,192.8846,OUT027,1985,Medium,Tier 3,Mumbai,2293.0152
NCU05,Health and Hygiene,Low Fat,,0.058451805,79.9618,OUT027,1985,Medium,Tier 3,Mumbai,241.6854
FDH19,Meat,Low Fat,,0.03292824,173.1738,OUT027,1985,Medium,Tier 3,Mumbai,7298.4996
FDZ10,Snack Foods,Low Fat,,0.044248175,126.202,OUT027,1985,Medium,Tier 3,Mumbai,3668.558
NCF07,Household,Low Fat,,0.031867464,101.0016,OUT027,1985,Medium,Tier 3,Mumbai,2125.2336
FDY31,Fruits and Vegetables,Low Fat,,0.043351896,146.6418,OUT027,1985,Medium,Tier 3,Mumbai,4414.254
DRQ35,Hard Drinks,Low Fat,,0.042086652,122.4388,OUT027,1985,Medium,Tier 3,Mumbai,5448.9072
NCW17,Health and Hygiene,Low Fat,,0.019292355,129.9994,OUT027,1985,Medium,Tier 3,Mumbai,3340.9844
FDN60,Baking Goods,Low Fat,,0.094697274,158.4604,OUT027,1985,Medium,Tier 3,Mumbai,4278.4308
FDJ56,Fruits and Vegetables,Low Fat,,0.182514881,98.77,OUT027,1985,Medium,Tier 3,Mumbai,2696.49
FDR43,Fruits and Vegetables,Low Fat,,0.160707489,38.019,OUT027,1985,Medium,Tier 3,Mumbai,1318.284
NCK31,Others,Low Fat,,0.026916794,50.9666,OUT027,1985,Medium,Tier 3,Mumbai,717.7324
DRP35,Hard Drinks,Low Fat,,0.090427268,126.2336,OUT027,1985,Medium,Tier 3,Mumbai,3195.84
